old_id,trackID,name,joinID,symbolname,symbolentity,symbolset,identity,specialentitysubtype,sidc,x,y,sequence,order,time
637,54,Trans-Sahelian Highway,1644,Law Enforcement (Land Units) : Internal Security Force,201300,10,3,,,-6.0982587,11.3545963,1,1.00054,
649,55,الشويرف-براك,1661,Movement and Maneuver : SOF : Ground,121802,10,3,,,14.3425494,27.6289818,1,1.00055,
661,56,الشويرف-براك,1663,Movement and Maneuver : SOF : Special Boat,121803,10,3,,,14.3425494,27.6289818,1,1.00056,
673,57,الشويرف-براك,1664,Movement and Maneuver : SOF : Fixed Wing MISO,121801,10,3,,,14.3425494,27.6289818,1,1.00057,
685,58,כביש הגבול המערבי,1675,MILCO : Moored : Moored-Confidence-Level 1,140301,36,3,,,34.2726306,31.2125818,1,1.00058,
697,59,الطريق الدائري الإقليمي,1685,Weapon/Weapon System : Rifle : Automatic Rifle,110103,15,3,98,,30.9593051,29.6256691,1,1.00059,
709,60,الطريق الدائري الإقليمي,1686,Weapon/Weapon System : Machine Gun,110200,15,3,98,,30.9593334,29.6259251,1,1.0006,
721,61,الطريق الصحراوي طبرق-اجدابيا,1706,,,30,4,,,20.2728344,30.7722356,1,1.00061,
733,62,الطريق الصحراوي طبرق-اجدابيا,1714,,,30,9,,,20.2728344,30.7722356,1,1.00062,
745,63,الطريق الصحراوي طبرق-اجدابيا,1717,,,30,5,,,20.2728344,30.7722356,1,1.00063,
757,64,اوباري-غات,1842,Manual Track (Sea Subsurface),160000,35,4,,,10.5645571,25.7793622,1,1.00064,
769,65,شارع درب الاربعين,1865,,,10,8,,,28.7525923,22.3134483,1,1.00065,
781,66,"طريق الجيزة, الواحات البحريه",1908,Protection : Field Camp Construction,160800,10,3,95,,29.1517361,28.4197986,1,1.00066,
793,67,طريق الكفرة-جالو,1921,Fire Event : Smoke,140200,40,3,,,23.2571336,24.2236666,1,1.00067,
805,68,"طريق العوينات, الواحات الداخلة",1923,Civilian Vehicle : Automobile : Midsize,160102,15,3,98,,28.9690493,25.4761148,1,1.00068,
817,69,"طريق العوينات, الواحات الداخلة",1924,Civilian Vehicle : Automobile : Compact,160101,15,3,98,,28.9690493,25.4761148,1,1.00069,
829,70,طريق الكفرة-جالو,1925,Fire Event : Hot Spot,140300,40,3,,,23.2571336,24.2236666,1,1.0007,
841,71,طريق الكفرة-جالو,1927,Fire Event : Non-Residential Fire,140400,40,3,,,23.2571336,24.2236666,1,1.00071,
853,72,طريق الضبعه القاهرة,1945,Civilian (Sea Surface) : Merchant Ship : Ferry,140105,30,3,,,30.6730485,30.1387801,1,1.00072,
865,73,طريق الضبعه القاهرة,1947,Civilian (Sea Surface) : Merchant Ship : Heavy Lift,140106,30,3,,,30.6730485,30.1387801,1,1.00073,
877,74,طريق الضبعه القاهرة,1964,Civilian (Sea Surface) : Merchant Ship,140100,30,3,,,28.6286035,30.5647376,1,1.00074,
889,75,"طريق الفرافرة, الواحات الداخلة",1975,Command and Control : Military Information Support (MISO) : Broadcast Transmitter Antennae,110601,10,3,,,27.9629318,27.0334711,1,1.00075,
901,76,طريق الكفرة- جالو -إجدابيا,2040,Sustainment,160000,10,3,,,23.00569296,24.98063214,1,1.00076,
913,77,طريق ودان - أبو قرين,2069,Command and Control : Civil Affairs,110200,10,3,,,15.2507601,31.4242064,1,1.00077,
925,78,طريق أوجلة اجدابيا,2081,Military Combatant : Navy Task Organization : Navy Task Force,121002,30,3,,,21.2981581,29.1504648,1,1.00078,
937,79,طريق أوجلة اجدابيا,2082,Military Combatant : Navy Task Organization,121000,30,3,,,21.2981581,29.1504648,1,1.00079,
949,80,طريق أوجلة اجدابيا,2083,Military Combatant : Navy Task Organization : Navy Task Element,121001,30,3,,,21.2981581,29.1504648,1,1.0008,
961,81,"طريق مرسي مطروح, سيوه",2084,Protection : Drilling,140600,10,3,98,,27.1189074,31.2428215,1,1.00081,
973,82,طريق ودان - أبو قرين,2179,Intelligence : Sensor,151200,10,3,,,15.2507601,31.4242064,1,1.00082,
985,83,"محور ديروط, الفرافرة",2194,Military (Sea Subsurface) : Other Submersible,110200,35,6,,,30.6585154,27.5761343,1,1.00083,
997,84,ጽርግያ ባጽዕ ዓሰብ / Assab - Massawa Road / طريق عصب - مصوع,2204,Vehicle : Armored Vehicle : Combat Service Support Vehicle,120109,15,3,98,,40.2812874,14.9000419,1,1.00084,
1009,85,,2384,,110300,54,6,,,-0.5009977,47.4985108,1,1.00085,
1021,86,,2385,,110100,54,6,,,-1.7477881,46.5173655,1,1.00086,
1033,87,,2469,Train : Railcar,150200,15,3,98,,-3.5188531,50.6791802,1,1.00087,
1045,88,,2470,Weapon/Weapon System : Mortar : Light,111401,15,3,98,,-2.0175054,52.4451536,1,1.00088,
1057,89,,2503,Sustainment : US Supply Class VI,150400,10,3,,,-0.3239724,51.492184,1,1.00089,
1069,90,,2504,Sustainment : US Supply Class III,163900,10,3,,,-2.5792806,51.5707431,1,1.0009,
1081,91,,2525,Weapon/Weapon System : Antitank Rocket Launcher : Light,111701,15,3,98,,-1.2782196,53.3806355,1,1.00091,
1093,92,,2526,Weapon/Weapon System : Multiple Rocket Launcher : Light,111601,15,3,98,,-0.2274274,51.5723898,1,1.00092,
1105,93,,2568,Effect : Data Manipulation,160400,60,3,,,-2.6507605,53.7432776,1,1.00093,
1117,94,,2569,Civilian (Land Civilian) : Killing Victim,110500,11,1,,,-4.1810742,55.836063,1,1.00094,
1129,95,,2719,Vehicle : Tank Recovery Vehicle,120300,15,3,98,,20.6458801,44.5773053,1,1.00095,
1141,96,,2720,Weapon/Weapon System : Recoilless Gun : Medium,110802,15,3,98,,22.0729583,42.7128446,1,1.00096,
1153,97,,2723,Device Type : File Server,140700,60,3,,,19.1497128,47.430014,1,1.00097,
1165,98,,2724,Device Type : Peer-to-Peer Node,140800,60,3,,,20.2962474,44.8910116,1,1.00098,
1177,99,,2964,,110100,53,4,,,5.2225871,47.9107544,1,1.00099,
1189,100,,3060,,,20,9,,,8.6042422,49.8528897,1,1.001,
1201,101,,3061,,,35,5,,,7.6034617,47.597316,1,1.00101,
1213,102,,3102,Hazard Materials : Incident : Hazardous when Wet,150103,40,3,,,9.5421072,50.8130566,1,1.00102,
1225,103,,3103,Hazard Materials : Incident : Corrosive Material,150102,40,3,,,10.6592811,47.5684021,1,1.00103,
1237,104,,3148,,,1,9,,,6.8185651,50.7613472,1,1.00104,
1249,105,,3165,Botnet : Zombie,110400,60,3,,,7.0544322,50.9293055,1,1.00105,
1261,106,,3166,Engineer Equipment : Construction Vehicle,131500,15,3,98,,9.4328616,49.8805658,1,1.00106,
1273,107,,3173,Intelligence : Analysis,161695,10,3,98,,7.6572659,51.2323775,1,1.00107,
1285,108,,3174,Intelligence : Counterintelligence,163700,10,3,71,,9.0184812,50.163473,1,1.00108,
1297,109,,3182,Vehicle,120000,15,3,98,,11.3917579,48.207962,1,1.00109,
1309,110,,3183,Military (Sea Subsurface) : Submarine : Submarine-Bottomed,110103,35,1,,,9.3570362,48.6702638,1,1.0011,
1321,111,,3187,Operation : Fire Fighting Operation : Other Water Supply Location,131403,40,3,,,8.597091,49.8542628,1,1.00111,
1333,112,,3188,Operation : Fire Fighting Operation : Fire Station,131402,40,3,,,13.4037709,49.6808133,1,1.00112,
1345,113,,3207,Utility Vehicles : Mobile Emergency Physician,140400,15,3,98,,11.7022286,50.1035714,1,1.00113,
1357,114,,3226,Military (Sea Subsurface) : Autonomous Underwater Vehicle (AUV),110400,35,4,,,10.440818,49.7836945,1,1.00114,
1369,115,,3227,Military (Sea Subsurface) : Submarine : Submarine-Bottomed,110103,35,4,,,12.2461366,48.99237,1,1.00115,
1381,116,,3302,Installation : Materiel,111200,20,3,,,7.9639498,52.3221386,1,1.00116,
1393,117,,3309,Civilian (Land Civilian) : Emergency Medical Operation,111000,11,6,,,7.0558936,50.9283044,1,1.00117,
1405,118,,3310,Incident : Criminal Activity Incident : Dead Body,110121,40,3,,,12.8251505,52.3288812,1,1.00118,
1417,119,,3338,,,30,6,,,6.9261714,51.5554974,1,1.00119,
1429,120,,3339,,,30,2,,,8.1936912,53.1507555,1,1.0012,
1441,121,,3372,Law Enforcement (Land Equipment) : TSA,170900,15,3,98,,10.0385818,53.5001496,1,1.00121,
1453,122,,3382,Naval : Naval,170100,10,3,,1.00E+19,10.1200412,52.1184,1,1.00122,
1465,123,,3383,Sustainment : Broadcast,164900,10,3,,1.00E+19,9.5432378,50.8134252,1,1.00123,
1477,124,,3384,Military Noncombatant : Auxiliary Ship : Naval Cargo Ship,130108,30,3,,,9.5849776,50.8394178,1,1.00124,
1489,125,,3385,Military Noncombatant : Auxiliary Ship : Hospital Ship,130107,30,3,,,11.5365429,50.8790358,1,1.00125,
1501,126,,3392,Installation : Nuclear (Non CBRN Defense),111500,20,3,,,9.8671246,51.4521041,1,1.00126,
1513,127,,3393,Installation : Printed Media,111600,20,3,,,12.5538146,51.3105024,1,1.00127,
1525,128,,3406,,110300,53,6,,,9.8849225,52.2984405,1,1.00128,
1537,129,,3410,Civilian (Sea Subsurface) : Submersible,120100,35,6,,,8.7337839,53.8408585,1,1.00129,
1549,130,,3414,Infrastructure : Energy Facility : Electric Power,120501,20,3,,,9.982561,52.3891119,1,1.0013,
1561,131,,3431,Law Enforcement (Land Units) : US Secret Service (USSS),200900,10,3,,,10.0710686,53.5591649,1,1.00131,
1573,132,,3432,Law Enforcement (Land Units) : FBI,200600,10,3,,1.00E+19,12.4515071,53.1354181,1,1.00132,
1585,133,,3483,Civilian Vehicle : Multiple Passenger Vehicle,160300,15,3,98,,11.9635236,50.3796353,1,1.00133,
1597,134,,3484,Civilian Vehicle : Open-Bed Truck : Large,160203,15,3,98,,11.5959082,48.5820068,1,1.00134,
1609,135,,3492,Movement and Maneuver : Sniper,121500,10,3,,,11.769092,50.1949027,1,1.00135,
1621,136,,3493,Movement and Maneuver : Surveillance,121600,10,3,,,12.2789094,51.7970557,1,1.00136,
1633,137,,3494,Military Combatant : Mine Warfare Ship : Mine Layer,120401,30,3,,,12.4419423,51.1954307,1,1.00137,
1645,138,,3495,Environmental Report Location,200000,36,3,,,11.7990356,50.32765,1,1.00138,
1657,139,,3557,MILCO : General : General-Confidence-Level 4,140104,36,3,,,21.2436282,47.7953605,1,1.00139,
1669,140,,3558,MILCO : Bottom : Bottom-Confidence-Level 1,140201,36,3,,,19.129991,47.5554903,1,1.0014,
1681,141,,3570,Civilian (Sea Surface) : Merchant Ship : Tug- Ocean Going,140111,30,3,,,22.4141794,45.8833438,1,1.00141,
1693,142,,3571,Civilian (Sea Surface) : Merchant Ship : Oiler/Tanker,140109,30,3,,,24.2012043,45.7488157,1,1.00142,
1705,143,,3617,Operation : Emergency Operation : Emergency Water Distribution Center,131208,40,3,,,18.7978069,50.2611473,1,1.00143,
1717,144,,3618,Infrastructure : Commercial : Chemical Plant,120301,20,3,,,16.3377305,51.1282838,1,1.00144,
1729,145,,3645,Infrastructure : Public Venues : Recreational Area,121003,20,3,,,13.3621398,51.0547231,1,1.00145,
1741,146,,3646,Infrastructure : Postal Services,120900,20,3,,,11.5470005,52.2030531,1,1.00146,
1753,147,,3649,Protection : CBRN Defense : Reconnaissance,140103,10,3,25,,13.1628229,51.0006201,1,1.00147,
1765,148,,3660,Infrastructure : Water Supply : Reservoir,121406,20,3,,,11.7327915,53.1542371,1,1.00148,
1777,149,,3661,Movement and Maneuver : Army Aviation/Aviation Rotary Wing,120600,10,3,,,12.100227,54.1356224,1,1.00149,
1789,150,,3662,Movement and Maneuver : Antitank/Antiarmor : Motorized,120402,10,3,,,13.030862,52.7098453,1,1.0015,
1801,151,,3674,,,20,2,,,11.4704699,53.855951,1,1.00151,
1813,152,,3675,,,30,7,,,14.0134136,53.2370259,1,1.00152,
1825,153,,3679,Movement and Maneuver : Infantry : Motorized,121104,10,3,,,15.2565027,52.6967212,1,1.00153,
1837,154,,3680,Movement and Maneuver : Infantry : Armored/Mechanized/Tracked,121102,10,3,,,16.1518223,51.2863532,1,1.00154,
1849,155,,3697,,,1,7,,,12.0408073,57.6178189,1,1.00155,
1861,156,,3698,,,10,3,,,13.1069229,55.6367466,1,1.00156,
1873,157,,3701,Weapon/Weapon System : Direct Fire Gun : Heavy,110703,15,3,98,,12.7421375,56.0833558,1,1.00157,
1885,158,,3702,Weapon/Weapon System : Recoilless Gun : Light,110801,15,3,98,,14.1564978,57.759587,1,1.00158,
1897,159,,3723,Utility Vehicles : Bus,140500,15,3,98,,19.1125992,54.2022076,1,1.00159,
1909,160,,3724,Utility Vehicles : Semi-Trailer and Truck,140600,15,3,98,,20.3334325,52.7060049,1,1.0016,
1921,161,,3726,Protection : Diving,162400,10,3,97,,23.0294725,53.1538773,1,1.00161,
1933,162,,3742,Law Enforcement (Land Units) : Border Patrol,160800,10,3,,,21.5812466,55.7060105,1,1.00162,
1945,163,,3743,Named Headquarters : Allied Command Operations,150400,10,3,,,23.7826711,55.1061301,1,1.00163,
1957,164,,3796,Infrastructure : Water Supply : Pumping Station,121405,20,3,,,14.134283,57.7540281,1,1.00164,
1969,165,,3797,Infrastructure : Water Supply,121400,20,3,,,16.1625231,58.6382865,1,1.00165,
1981,166,,3810,Negative Reacquisition-General : Negative Reacquisition-Floating,160300,36,3,,,16.1619881,58.6370702,1,1.00166,
1993,167,,3812,MILCO : Floating : Floating-Confidence-Level 4,140404,36,3,,,17.8398213,59.2454363,1,1.00167,
2005,168,,3845,NMLO-General : Non-Mine Mine-Like Object-Moored,190200,36,3,,,14.3722503,62.0296233,1,1.00168,
2017,169,,3857,Weapon/Weapon System : Multiple Rocket Launcher : Medium,111602,15,3,98,,17.1909495,61.9122092,1,1.00169,
2029,170,,3858,Weapon/Weapon System : Multiple Rocket Launcher : Heavy,111603,15,3,98,,17.4749038,60.3611094,1,1.0017,
2041,171,,3864,Negative Reacquisition-General : Negative Reacquisition-Moored,160200,36,3,,,14.4269082,62.7501931,1,1.00171,
2053,172,,3894,Echo Tracker Classifier (ETC) / Possible Contact (POSCON),140000,35,4,,,19.4629269,65.8784191,1,1.00172,
2065,173,,3895,Sustainment : US Supply Class VII,164300,10,3,,,20.9652348,64.7580357,1,1.00173,
2077,174,,3896,Sustainment : US Supply Class V,164100,10,3,,1.01E+19,22.0225401,65.588801,1,1.00174,
2089,175,,3904,,,20,4,,,22.6544652,65.9087016,1,1.00175,
2101,176,,4002,Military (Air) : Fixed-Wing : Ultra Light,110127,1,3,,,30.1874492,49.9324339,1,1.00176,
2113,177,,4003,Military (Air) : Fixed-Wing : Photographic Reconnaissance,110128,1,3,,,30.5576553,46.6052852,1,1.00177,
2125,178,,4012,Law Enforcement (Land Units) : Coast Guard,201100,10,3,,,32.8454598,46.6090158,1,1.00178,
2137,179,,4036,Utility Vehicles : Semi-Trailer and Truck : Light,140601,15,3,98,,31.0265931,50.3205572,1,1.00179,
2149,180,,4037,Utility Vehicles : Limited Cross Country Truck,140700,15,3,98,,33.8565375,49.6716776,1,1.0018,
2161,181,,4047,Health and Status : Unknown,130300,60,3,,,23.9028778,52.1266703,1,1.00181,
2173,182,,4048,Device Type : Host,141100,60,3,,,27.1779094,53.6747452,1,1.00182,
2185,183,,4049,Civilian (Air) : Fixed Wing,120100,1,3,,,29.2720668,52.1253074,1,1.00183,
2197,184,,4055,,,35,1,,,23.8778695,53.6680397,1,1.00184,
2209,185,,4056,,,35,0,,,27.4030823,53.9115502,1,1.00185,
2221,186,,4070,Device Type : Mail Server,140400,60,3,,,27.1781444,53.6746547,1,1.00186,
2233,187,,4071,Device Type : Router,140200,60,3,,,30.9839713,54.690804,1,1.00187,
2245,188,,4075,,,1,4,,,30.9445441,52.467368,1,1.00188,
2257,189,,4076,,,1,5,,,27.8482727,53.7350454,1,1.00189,
2269,190,,4154,Sea Mine-General : Neutralized : Neutralized Mine-Other Position,110905,36,3,,,35.149893,48.5945958,1,1.0019,
2281,191,,4225,Fires : Air Defense : Missile,130102,10,3,,,39.3932979,51.6965588,1,1.00191,
2293,192,,4232,Sustainment : US Supply Class II,160800,10,3,,,41.9590944,52.7078145,1,1.00192,
2305,193,,4234,Protection : CBRN Defense,150400,10,3,98,,44.9521741,54.1920028,1,1.00193,
2317,194,,4278,Natural Event : Hydro-Meteorological : Tsunami,170203,40,3,,,33.4928325,59.6844272,1,1.00194,
2329,195,,4291,Other Equipment : Ground-based Midcourse Defense (GMD) Fire Control (GFC) Center,200800,15,3,98,,34.8383706,62.8489162,1,1.00195,
2341,196,,4292,Weapon/Weapon System : Antitank Rocket Launcher : Medium,111702,15,3,98,,38.759725,59.8832855,1,1.00196,
2353,197,,4297,,110200,51,3,,,43.7895848,57.8844639,1,1.00197,
2365,198,,4300,Infrastructure : Agriculture and Food : Grain Storage,120108,20,3,,,40.5756341,59.6598189,1,1.00198,
2377,199,,4301,Mine-Like Echo (MILEC)-General : Mine-Like Echo-Floating,150300,36,3,,,43.1494963,59.7535413,1,1.00199,
2389,200,,4302,Weapon/Weapon System : Machine Gun : Light,110201,15,3,98,,20.1876419,67.8770724,1,1.002,
2401,201,,4303,Military (Sea Subsurface) : Nonsubmarine,110300,35,3,,,22.441761,68.4357315,1,1.00201,
2413,202,«Дон»,4337,Protection : Geospatial Support/Geospatial Information Support,141100,10,3,97,,39.6608136,46.7579294,1,1.00202,
2425,203,«Дон»,4345,Natural Event : Geologic : Avalanche,170102,40,3,,,39.5542266,51.4688147,1,1.00203,
2437,204,«Дон»,4346,Military (Air) : Fixed-Wing,110100,1,3,,,40.3164171,48.3090592,1,1.00204,
2449,205,«Дон»,4349,Weapon/Weapon System : Rifle : Single Shot Rifle,110101,15,3,98,,39.3011161,51.6750765,1,1.00205,
2461,206,«Дон»,4350,Weapon/Weapon System : Water Cannon,112000,15,3,98,,38.1659473,53.4465633,1,1.00206,
2473,207,«Дон»,4351,Installation : Armament Production,110400,20,3,,,37.8107027,55.3268647,1,1.00207,
2485,208,«Дон»,4352,Installation : Engineering Equipment Production,110700,20,3,,,38.0973986,53.6087866,1,1.00208,
2497,209,«Каспий»,4391,Infrastructure : Energy Facility : Propane Facility,120506,20,3,,,41.3399223,52.6598243,1,1.00209,
2509,210,«Кола»,4402,Military Combatant : Surface Combatant- Line : Destroyer,120203,30,3,,,33.6163231,61.6760646,1,1.0021,
2521,211,«Кола»,4403,Operation : Law Enforcement Operation : US Marshals Service,131512,40,3,,,32.7610399,66.6772491,1,1.00211,
2533,212,«Кола»,4407,Natural Event : Geologic : Landslide,170104,40,3,,,34.1494738,64.4027984,1,1.00212,
2545,213,«Кола»,4414,Military Combatant : Surface Combatant- Line,120200,30,3,,,31.8232154,69.4808789,1,1.00213,
2557,214,«Нева»,4424,Incident : Criminal Activity Incident : Rock Throwing,110120,40,3,,,30.3386203,59.8013092,1,1.00214,
2569,215,«Нева»,4425,Incident : Criminal Activity Incident : Smuggling,110119,40,3,,,35.479823,56.9611749,1,1.00215,
2581,216,«Сортавала»,4439,Military (Sea Subsurface) : Autonomous Underwater Vehicle (AUV),110400,35,3,,,31.2664846,61.6843613,1,1.00216,
2593,217,«Таврида»,4441,Civilian Vehicle : Utility Vehicle : Sport Utility Vehicle (SUV),160401,15,3,98,,33.6640215,44.6123685,1,1.00217,
2605,218,«Таврида»,4443,MILCO : General : General-Confidence-Level 3,140103,36,3,,,36.3682393,45.329919,1,1.00218,
2617,219,«Украина»,4444,Civilian (Land Civilian) : Government Organization,110200,11,3,,,35.837675,54.4559819,1,1.00219,
2629,220,«Холмогоры»,4472,Fused Track (Sea Subsurface),150000,35,6,,,41.0909027,60.0174754,1,1.0022,
2641,221,Adana-Şanlıurfa Otoyolu,4526,Sustainment : Morale Welfare and Recreation,161500,10,3,,,39.0132562,37.1642345,1,1.00221,
2653,222,Álttáluodda,4560,Military (Sea Subsurface) : Submarine : Submarine-Bottomed,110103,35,6,,,23.4044705,69.7110515,1,1.00222,
2665,223,Ankara Niğde Otoyolu,4601,Sensors : Sensor,220100,15,3,98,,32.7443395,39.7813287,1,1.00223,
2677,224,Ankara Niğde Otoyolu,4602,Manual Track (Land Equipment),240000,15,3,98,,34.715865,38.1239216,1,1.00224,
2689,225,Austurlandsvegur,4624,Infrastructure : Transportation : Rest Stop,121308,20,3,,,-15.0280662,64.2917059,1,1.00225,
2701,226,Autoestrada do Norte,4661,Civilian Vehicle : Open-Bed Truck : Small,160202,15,3,98,,-9.0538261,38.8879957,1,1.00226,
2713,227,Autoestrada do Norte,4662,Civilian Vehicle : Multiple Passenger Vehicle : Van,160301,15,3,98,,-8.6257084,41.1149393,1,1.00227,
2725,228,Autoestrada do Sul,4671,Sustainment : Labor,160900,10,3,,,-8.211596,37.1559651,1,1.00228,
2737,229,Autoestrada do Sul,4672,Echo Tracker Classifier (ETC) / Possible Contact (POSCON),140000,35,3,,,-9.01148,38.5793062,1,1.00229,
2749,230,Autopista de la Mediterrània,4680,,,40,2,,,0.5455896,40.702516,1,1.0023,
2761,231,Autopista del Ebro,4694,Civilian (Sea Subsurface) : Submersible,120100,35,1,,,-2.863033,42.6403696,1,1.00231,
2773,232,Autopista del Ebro,4695,Civilian (Sea Subsurface) : Autonomous Underwater Vehicle (AUV),120200,35,1,,,-1.1245051,41.7774946,1,1.00232,
2785,233,Autoroute de l’Est,4756,Operation : Fire Fighting Operation,131400,40,3,,,7.7386745,48.5988899,1,1.00233,
2797,234,Autoroute de l’Est,4757,Operation : Emergency Medical Operation : Triage,131306,40,3,,,2.5167167,48.826459,1,1.00234,
