trackField,sequence,time,message,long,lat
NE306,1,1:00:01 AM,Position 1 for NE306.,6,6
NE307,1,1:00:01 AM,Position 1 for NE307.,6,7
NE308,1,1:00:01 AM,Position 1 for NE308.,6,8
NE309,1,1:00:01 AM,Position 1 for NE309.,6,9
NE310,1,1:00:01 AM,Position 1 for NE310.,6,10
NE311,1,1:00:01 AM,Position 1 for NE311.,6,11
NE312,1,1:00:01 AM,Position 1 for NE312.,6,12
NE313,1,1:00:01 AM,Position 1 for NE313.,6,13
NE314,1,1:00:01 AM,Position 1 for NE314.,6,14
NE315,1,1:00:01 AM,Position 1 for NE315.,6,15
NE316,1,1:00:01 AM,Position 1 for NE316.,6,16
NE317,1,1:00:01 AM,Position 1 for NE317.,6,17
NE318,1,1:00:01 AM,Position 1 for NE318.,6,18
NE319,1,1:00:01 AM,Position 1 for NE319.,6,19
NE320,1,1:00:01 AM,Position 1 for NE320.,6,20
NE321,1,1:00:01 AM,Position 1 for NE321.,6,21
NE322,1,1:00:01 AM,Position 1 for NE322.,6,22
NE323,1,1:00:01 AM,Position 1 for NE323.,6,23
NE324,1,1:00:01 AM,Position 1 for NE324.,6,24
NE325,1,1:00:01 AM,Position 1 for NE325.,6,25
NE326,1,1:00:01 AM,Position 1 for NE326.,6,26
NE327,1,1:00:01 AM,Position 1 for NE327.,6,27
NE328,1,1:00:01 AM,Position 1 for NE328.,6,28
NE329,1,1:00:01 AM,Position 1 for NE329.,6,29
NE330,1,1:00:01 AM,Position 1 for NE330.,6,30
NE331,1,1:00:01 AM,Position 1 for NE331.,6,31
NE332,1,1:00:01 AM,Position 1 for NE332.,6,32
NE333,1,1:00:01 AM,Position 1 for NE333.,6,33
NE334,1,1:00:01 AM,Position 1 for NE334.,6,34
NE335,1,1:00:01 AM,Position 1 for NE335.,6,35
NE336,1,1:00:01 AM,Position 1 for NE336.,6,36
NE337,1,1:00:01 AM,Position 1 for NE337.,6,37
NE338,1,1:00:01 AM,Position 1 for NE338.,6,38
NE339,1,1:00:01 AM,Position 1 for NE339.,6,39
NE340,1,1:00:01 AM,Position 1 for NE340.,6,40
NE341,1,1:00:01 AM,Position 1 for NE341.,6,41
NE342,1,1:00:01 AM,Position 1 for NE342.,6,42
NE343,1,1:00:01 AM,Position 1 for NE343.,6,43
NE344,1,1:00:01 AM,Position 1 for NE344.,6,44
NE345,1,1:00:01 AM,Position 1 for NE345.,6,45
NE346,1,1:00:01 AM,Position 1 for NE346.,6,46
NE347,1,1:00:01 AM,Position 1 for NE347.,6,47
NE348,1,1:00:01 AM,Position 1 for NE348.,6,48
NE349,1,1:00:01 AM,Position 1 for NE349.,6,49
NE350,1,1:00:01 AM,Position 1 for NE350.,6,50
NE351,1,1:00:01 AM,Position 1 for NE351.,7,1
NE352,1,1:00:01 AM,Position 1 for NE352.,7,2
NE353,1,1:00:01 AM,Position 1 for NE353.,7,3
NE354,1,1:00:01 AM,Position 1 for NE354.,7,4
NE355,1,1:00:01 AM,Position 1 for NE355.,7,5
NE356,1,1:00:01 AM,Position 1 for NE356.,7,6
NE357,1,1:00:01 AM,Position 1 for NE357.,7,7
NE358,1,1:00:01 AM,Position 1 for NE358.,7,8
NE359,1,1:00:01 AM,Position 1 for NE359.,7,9
NE360,1,1:00:01 AM,Position 1 for NE360.,7,10
NE361,1,1:00:01 AM,Position 1 for NE361.,7,11
NE362,1,1:00:01 AM,Position 1 for NE362.,7,12
NE363,1,1:00:01 AM,Position 1 for NE363.,7,13
NE364,1,1:00:01 AM,Position 1 for NE364.,7,14
NE365,1,1:00:01 AM,Position 1 for NE365.,7,15
NE366,1,1:00:01 AM,Position 1 for NE366.,7,16
NE367,1,1:00:01 AM,Position 1 for NE367.,7,17
NE368,1,1:00:01 AM,Position 1 for NE368.,7,18
NE369,1,1:00:01 AM,Position 1 for NE369.,7,19
NE370,1,1:00:01 AM,Position 1 for NE370.,7,20
NE371,1,1:00:01 AM,Position 1 for NE371.,7,21
NE372,1,1:00:01 AM,Position 1 for NE372.,7,22
NE373,1,1:00:01 AM,Position 1 for NE373.,7,23
NE374,1,1:00:01 AM,Position 1 for NE374.,7,24
NE375,1,1:00:01 AM,Position 1 for NE375.,7,25
NE376,1,1:00:01 AM,Position 1 for NE376.,7,26
NE377,1,1:00:01 AM,Position 1 for NE377.,7,27
NE378,1,1:00:01 AM,Position 1 for NE378.,7,28
NE379,1,1:00:01 AM,Position 1 for NE379.,7,29
NE380,1,1:00:01 AM,Position 1 for NE380.,7,30
NE381,1,1:00:01 AM,Position 1 for NE381.,7,31
NE382,1,1:00:01 AM,Position 1 for NE382.,7,32
NE383,1,1:00:01 AM,Position 1 for NE383.,7,33
NE384,1,1:00:01 AM,Position 1 for NE384.,7,34
NE385,1,1:00:01 AM,Position 1 for NE385.,7,35
NE386,1,1:00:01 AM,Position 1 for NE386.,7,36
NE387,1,1:00:01 AM,Position 1 for NE387.,7,37
NE388,1,1:00:01 AM,Position 1 for NE388.,7,38
NE389,1,1:00:01 AM,Position 1 for NE389.,7,39
NE390,1,1:00:01 AM,Position 1 for NE390.,7,40
NE391,1,1:00:01 AM,Position 1 for NE391.,7,41
NE392,1,1:00:01 AM,Position 1 for NE392.,7,42
NE393,1,1:00:01 AM,Position 1 for NE393.,7,43
NE394,1,1:00:01 AM,Position 1 for NE394.,7,44
NE395,1,1:00:01 AM,Position 1 for NE395.,7,45
NE396,1,1:00:01 AM,Position 1 for NE396.,7,46
NE397,1,1:00:01 AM,Position 1 for NE397.,7,47
NE398,1,1:00:01 AM,Position 1 for NE398.,7,48
NE399,1,1:00:01 AM,Position 1 for NE399.,7,49
NE400,1,1:00:01 AM,Position 1 for NE400.,7,50
NE401,1,1:00:01 AM,Position 1 for NE401.,8,1
NE402,1,1:00:01 AM,Position 1 for NE402.,8,2
NE403,1,1:00:01 AM,Position 1 for NE403.,8,3
NE404,1,1:00:01 AM,Position 1 for NE404.,8,4
NE405,1,1:00:01 AM,Position 1 for NE405.,8,5
NE406,1,1:00:01 AM,Position 1 for NE406.,8,6
NE407,1,1:00:01 AM,Position 1 for NE407.,8,7
NE408,1,1:00:01 AM,Position 1 for NE408.,8,8
NE409,1,1:00:01 AM,Position 1 for NE409.,8,9
NE410,1,1:00:01 AM,Position 1 for NE410.,8,10
NE411,1,1:00:01 AM,Position 1 for NE411.,8,11
NE412,1,1:00:01 AM,Position 1 for NE412.,8,12
NE413,1,1:00:01 AM,Position 1 for NE413.,8,13
NE414,1,1:00:01 AM,Position 1 for NE414.,8,14
NE415,1,1:00:01 AM,Position 1 for NE415.,8,15
NE416,1,1:00:01 AM,Position 1 for NE416.,8,16
NE417,1,1:00:01 AM,Position 1 for NE417.,8,17
NE418,1,1:00:01 AM,Position 1 for NE418.,8,18
NE419,1,1:00:01 AM,Position 1 for NE419.,8,19
NE420,1,1:00:01 AM,Position 1 for NE420.,8,20
NE421,1,1:00:01 AM,Position 1 for NE421.,8,21
NE422,1,1:00:01 AM,Position 1 for NE422.,8,22
NE423,1,1:00:01 AM,Position 1 for NE423.,8,23
NE424,1,1:00:01 AM,Position 1 for NE424.,8,24
NE425,1,1:00:01 AM,Position 1 for NE425.,8,25
NE426,1,1:00:01 AM,Position 1 for NE426.,8,26
NE427,1,1:00:01 AM,Position 1 for NE427.,8,27
NE428,1,1:00:01 AM,Position 1 for NE428.,8,28
NE429,1,1:00:01 AM,Position 1 for NE429.,8,29
NE430,1,1:00:01 AM,Position 1 for NE430.,8,30
NE431,1,1:00:01 AM,Position 1 for NE431.,8,31
NE432,1,1:00:01 AM,Position 1 for NE432.,8,32
NE433,1,1:00:01 AM,Position 1 for NE433.,8,33
NE434,1,1:00:01 AM,Position 1 for NE434.,8,34
NE435,1,1:00:01 AM,Position 1 for NE435.,8,35
NE436,1,1:00:01 AM,Position 1 for NE436.,8,36
NE437,1,1:00:01 AM,Position 1 for NE437.,8,37
NE438,1,1:00:01 AM,Position 1 for NE438.,8,38
NE439,1,1:00:01 AM,Position 1 for NE439.,8,39
NE440,1,1:00:01 AM,Position 1 for NE440.,8,40
NE441,1,1:00:01 AM,Position 1 for NE441.,8,41
NE442,1,1:00:01 AM,Position 1 for NE442.,8,42
NE443,1,1:00:01 AM,Position 1 for NE443.,8,43
NE444,1,1:00:01 AM,Position 1 for NE444.,8,44
NE445,1,1:00:01 AM,Position 1 for NE445.,8,45
NE446,1,1:00:01 AM,Position 1 for NE446.,8,46
NE447,1,1:00:01 AM,Position 1 for NE447.,8,47
NE448,1,1:00:01 AM,Position 1 for NE448.,8,48
NE449,1,1:00:01 AM,Position 1 for NE449.,8,49
NE450,1,1:00:01 AM,Position 1 for NE450.,8,50
NE451,1,1:00:01 AM,Position 1 for NE451.,9,1
NE452,1,1:00:01 AM,Position 1 for NE452.,9,2
NE453,1,1:00:01 AM,Position 1 for NE453.,9,3
NE454,1,1:00:01 AM,Position 1 for NE454.,9,4
NE455,1,1:00:01 AM,Position 1 for NE455.,9,5
NE456,1,1:00:01 AM,Position 1 for NE456.,9,6
NE457,1,1:00:01 AM,Position 1 for NE457.,9,7
NE458,1,1:00:01 AM,Position 1 for NE458.,9,8
NE459,1,1:00:01 AM,Position 1 for NE459.,9,9
NE460,1,1:00:01 AM,Position 1 for NE460.,9,10
NE461,1,1:00:01 AM,Position 1 for NE461.,9,11
NE462,1,1:00:01 AM,Position 1 for NE462.,9,12
NE463,1,1:00:01 AM,Position 1 for NE463.,9,13
NE464,1,1:00:01 AM,Position 1 for NE464.,9,14
NE465,1,1:00:01 AM,Position 1 for NE465.,9,15
