OID_,trackField,countryCode,sequence,longitude,latitude
11005,EG,22,5,35.41994393,26.90931489
12005,GE,23,5,48.9070315,38.95852433
13005,KW,24,5,52.00289344,26.09872957
14005,TM,25,5,62.54068617,35.03178205
15005,UZ,26,5,73.42526839,38.51621238
16005,RU,27,5,75.52262153,48.78401811
17005,YE,28,5,48.33357444,11.82159669
18005,MU,29,5,62.81932432,20.27824512
19005,PK,30,5,77.2077495,28.25189713
6,UK,11,6,-2.14207272,51.1048148
1006,NO,12,6,14.89074604,58.0069156
2006,FI,13,6,29.00817211,58.3225656
3006,ES,14,6,0.38918755,37.55968394
4006,FR,15,6,6.45064795,46.36841481
5006,DE,16,6,17.47505782,50.24565491
6006,BY,17,6,31.69218429,51.67399113
7006,IT,18,6,16.60096008,39.1138309
8006,MD,19,6,32.95830289,44.31124092
9006,LY,20,6,17.14179222,29.64741339
10006,GR,21,6,27.82549565,35.07589632
11006,EG,22,6,35.39697193,26.88629922
12006,GE,23,6,48.88405951,38.9384534
13006,KW,24,6,51.97992145,26.07555102
14006,TM,25,6,62.51771418,35.01064713
15006,UZ,26,6,73.40229639,38.4960168
16006,RU,27,6,75.49964954,48.76701057
17006,YE,28,6,48.31060245,11.79633522
18006,MU,29,6,62.79635233,20.2540351
19006,PK,30,6,77.18477751,28.22916136
7,UK,11,7,-2.16520625,51.08869827
1007,NO,12,7,14.86761251,57.99331634
2007,FI,13,7,28.98503858,58.30908647
3007,ES,14,7,0.36605402,37.53933764
4007,FR,15,7,6.42751442,46.350704
5007,DE,16,7,17.45192429,50.22924068
6007,BY,17,7,31.66905076,51.65807382
7007,IT,18,7,16.57782655,39.09391633
8007,MD,19,7,32.93516936,44.29287475
9007,LY,20,7,17.11865869,29.62510759
10007,GR,21,7,27.80236212,35.05489126
11007,EG,22,7,35.3738384,26.86340795
12007,GE,23,7,48.86092598,38.91848938
13007,KW,24,7,51.95678792,26.05249788
14007,TM,25,7,62.49458065,34.98962528
15007,UZ,26,7,73.37916286,38.47592883
16007,RU,27,7,75.47651601,48.75009267
17007,YE,28,7,48.28746892,11.77121308
18007,MU,29,7,62.7732188,20.22995707
19007,PK,30,7,77.16164398,28.20654828
8,UK,11,8,-2.1885004,51.07266768
1008,NO,12,8,14.84431835,57.97978917
2008,FI,13,8,28.96174443,58.29567877
3008,ES,14,8,0.34275987,37.51910135
4008,FR,15,8,6.40422026,46.33308807
5008,DE,16,8,17.42863013,50.21291405
6008,BY,17,8,31.64575661,51.64224134
7008,IT,18,8,16.5545324,39.07410926
8008,MD,19,8,32.9118752,44.27460718
9008,LY,20,8,17.09536453,29.60292354
10008,GR,21,8,27.77906796,35.0340001
11008,EG,22,8,35.35054425,26.84064206
12008,GE,23,8,48.83763182,38.89863314
13008,KW,24,8,51.93349376,26.02957113
14008,TM,25,8,62.47128649,34.96871744
15008,UZ,26,8,73.35586871,38.45594938
16008,RU,27,8,75.45322185,48.73326518
17008,YE,28,8,48.26417477,11.74623131
18008,MU,29,8,62.74992464,20.20601207
19008,PK,30,8,77.13834982,28.18405883
9,UK,11,9,-2.21195427,51.05672375
1009,NO,12,9,14.82086448,57.96633472
2009,FI,13,9,28.93829056,58.28234313
3009,ES,14,9,0.319306,37.49897598
4009,FR,15,9,6.3807664,46.31556779
5009,DE,16,9,17.40517627,50.19667575
6009,BY,17,9,31.62230274,51.62649441
7009,IT,18,9,16.53107853,39.05441056
8009,MD,19,9,32.88842133,44.256439
9009,LY,20,9,17.07191067,29.58086221
10009,GR,21,9,27.75561409,35.01322376
11009,EG,22,9,35.32709038,26.81800252
12009,GE,23,9,48.81417795,38.87888556
13009,KW,24,9,51.91003989,26.00677176
14009,TM,25,9,62.44783263,34.94792453
15009,UZ,26,9,73.33241484,38.43607931
16009,RU,27,9,75.42976799,48.71652886
17009,YE,28,9,48.2407209,11.72139094
18009,MU,29,9,62.72647077,20.18220108
19009,PK,30,9,77.11489596,28.16169401
10,UK,11,10,-2.23556692,51.0408672
1010,NO,12,10,14.79725183,57.95295359
2010,FI,13,10,28.91467791,58.26908015
3010,ES,14,10,0.29569335,37.47896241
4010,FR,15,10,6.35715375,46.29814397
5010,DE,16,10,17.38156361,50.18052651
6010,BY,17,10,31.59869009,51.61083375
7010,IT,18,10,16.50746588,39.03482111
8010,MD,19,10,32.86480868,44.23837104
9010,LY,20,10,17.04829801,29.55892454
10010,GR,21,10,27.73200144,34.99256316
11010,EG,22,10,35.30347773,26.79549032
12010,GE,23,10,48.7905653,38.85924752
13010,KW,24,10,51.88642724,25.98410075
14010,TM,25,10,62.42421998,34.92724745
15010,UZ,26,10,73.30880219,38.41631951
16010,RU,27,10,75.40615533,48.69988447
17010,YE,28,10,48.21710825,11.69669297
18010,MU,29,10,62.70285812,20.15852513
19010,PK,30,10,77.0912833,28.13945477
11,UK,11,11,-2.25933743,51.02509877
1011,NO,12,11,14.77348132,57.93964641
2011,FI,13,11,28.8909074,58.25589044
3011,ES,14,11,0.27192284,37.45906152
4011,FR,15,11,6.33338324,46.28081737
5011,DE,16,11,17.35779311,50.16446708
6011,BY,17,11,31.57491958,51.59526006
7011,IT,18,11,16.48369537,39.01534176
8011,MD,19,11,32.84103817,44.22040411
9011,LY,20,11,17.02452751,29.53711149
10011,GR,21,11,27.70823094,34.9720192
11011,EG,22,11,35.27970722,26.77310642
12011,GE,23,11,48.7667948,38.83971988
13011,KW,24,11,51.86265673,25.96155907
14011,TM,25,11,62.40044947,34.90668711
15011,UZ,26,11,73.28503168,38.39667085
16011,RU,27,11,75.38238483,48.68333275
17011,YE,28,11,48.19333774,11.67213844
18011,MU,29,11,62.67908761,20.13498521
19011,PK,30,11,77.0675128,28.11734207
12,UK,11,12,-2.28326486,51.00941916
1012,NO,12,12,14.7495539,57.92641378
2012,FI,13,12,28.86697997,58.24277462
3012,ES,14,12,0.24799541,37.43927419
4012,FR,15,12,6.30945581,46.26358878
5012,DE,16,12,17.33386568,50.14849818
6012,BY,17,12,31.55099215,51.57977405
7012,IT,18,12,16.45976794,38.9959734
8012,MD,19,12,32.81711075,44.202539
9012,LY,20,12,17.00060008,29.51542401
10012,GR,21,12,27.68430351,34.95159278
11012,EG,22,12,35.25577979,26.75085178
12012,GE,23,12,48.74286737,38.82030351
13012,KW,24,12,51.8387293,25.93914769
14012,TM,25,12,62.37652204,34.88624442
15012,UZ,26,12,73.26110425,38.3771342
16012,RU,27,12,75.3584574,48.66687445
17012,YE,28,12,48.16941031,11.64772835
18012,MU,29,12,62.65516019,20.11158231
19012,PK,30,12,77.04358537,28.09535687
13,UK,11,13,-2.30734826,50.99382908
1013,NO,12,13,14.7254705,57.91325632
2013,FI,13,13,28.84289657,58.22973328
3013,ES,14,13,0.22391201,37.4196013
4013,FR,15,13,6.28537241,46.24645899
5013,DE,16,13,17.30978228,50.13262053
6013,BY,17,13,31.52690875,51.56437644
7013,IT,18,13,16.43568454,38.97671687
8013,MD,19,13,32.79302735,44.18477653
9013,LY,20,13,16.97651668,29.49386303
10013,GR,21,13,27.66022011,34.93128481
11013,EG,22,13,35.23169639,26.72872736
12013,GE,23,13,48.71878397,38.80099928
13013,KW,24,13,51.8146459,25.91686757
14013,TM,25,13,62.35243864,34.86592027
15013,UZ,26,13,73.23702085,38.35771044
16013,RU,27,13,75.334374,48.65051033
17013,YE,28,13,48.14532691,11.6234637
18013,MU,29,13,62.63107678,20.08831742
19013,PK,30,13,77.01950197,28.07350012
14,UK,11,14,-2.33158669,50.97832925
1014,NO,12,14,14.70123207,57.90017462
2014,FI,13,14,28.81865814,58.21676702
3014,ES,14,14,0.19967358,37.40004372
4014,FR,15,14,6.26113398,46.22942875
5014,DE,16,14,17.28554385,50.11683485
6014,BY,17,14,31.50267032,51.54906791
7014,IT,18,14,16.41144611,38.95757303
8014,MD,19,14,32.76878892,44.1671175
9014,LY,20,14,16.95227825,29.47242949
10014,GR,21,14,27.63598168,34.91109617
11014,EG,22,14,35.20745796,26.70673412
12014,GE,23,14,48.69454554,38.78180804
13014,KW,24,14,51.79040747,25.89471967
14014,TM,25,14,62.32820021,34.84571556
15014,UZ,26,14,73.21278242,38.33840041
16014,RU,27,14,75.31013557,48.63424111
17014,YE,28,14,48.12108848,11.5993455
18014,MU,29,14,62.60683835,20.06519153
19014,PK,30,14,76.99526354,28.05177275
15,UK,11,15,-2.35597919,50.96292038
1015,NO,12,15,14.67683956,57.88716929
2015,FI,13,15,28.79426564,58.20387644
3015,ES,14,15,0.17528108,37.38060232
4015,FR,15,15,6.23674148,46.21249885
5015,DE,16,15,17.26115135,50.10114187
6015,BY,17,15,31.47827782,51.53384918
7015,IT,18,15,16.38705361,38.93854274
8015,MD,19,15,32.74439641,44.14956268
9015,LY,20,15,16.92788575,29.45112433
10015,GR,21,15,27.61158918,34.89102775
11015,EG,22,15,35.18306546,26.684873
12015,GE,23,15,48.67015304,38.76273064
13015,KW,24,15,51.76601497,25.87270494
14015,TM,25,15,62.30380771,34.82563119
15015,UZ,26,15,73.18838992,38.31920498
16015,RU,27,15,75.28574307,48.61806755
17015,YE,28,15,48.09669598,11.57537474
18015,MU,29,15,62.58244585,20.04220562
19015,PK,30,15,76.97087104,28.03017573
16,UK,11,16,-2.3805248,50.94760315
1016,NO,12,16,14.65229395,57.87424094
2016,FI,13,16,28.76972003,58.19106214
3016,ES,14,16,0.15073547,37.36127795
4016,FR,15,16,6.21219587,46.19567003
5016,DE,16,16,17.23660573,50.0855423
6016,BY,17,16,31.45373221,51.51872092
7016,IT,18,16,16.362508,38.91962684
8016,MD,19,16,32.7198508,44.13211288
9016,LY,20,16,16.90334013,29.42994846
10016,GR,21,16,27.58704356,34.87108045
11016,EG,22,16,35.15851985,26.66314495
12016,GE,23,16,48.64560742,38.74376794
13016,KW,24,16,51.74146936,25.85082433
14016,TM,25,16,62.2792621,34.80566802
15016,UZ,26,16,73.16384431,38.30012501
16016,RU,27,16,75.26119745,48.60199037
17016,YE,28,16,48.07215037,11.55155241
18016,MU,29,16,62.55790024,20.01936065
19016,PK,30,16,76.94632542,28.00870996
17,UK,11,17,-2.40522256,50.93237828
1017,NO,12,17,14.6275962,57.86139015
2017,FI,13,17,28.74502227,58.17832471
3017,ES,14,17,0.12603771,37.34207147
4017,FR,15,17,6.18749811,46.17894308
5017,DE,16,17,17.21190798,50.07003685
6017,BY,17,17,31.42903445,51.50368385
7017,IT,18,17,16.33781024,38.90082616
8017,MD,19,17,32.69515305,44.11476888
9017,LY,20,17,16.87864238,29.4089028
10017,GR,21,17,27.56234581,34.85125513
11017,EG,22,17,35.13382209,26.64155089
12017,GE,23,17,48.62090967,38.72492077
13017,KW,24,17,51.7167716,25.82907877
14017,TM,25,17,62.25456434,34.78582695
15017,UZ,26,17,73.13914655,38.28116133
16017,RU,27,17,75.2364997,48.58601031
17017,YE,28,17,48.04745261,11.52787948
18017,MU,29,17,62.53320248,19.99665759
19017,PK,30,17,76.92162767,27.9873764
18,UK,11,18,-2.43007148,50.91724646
1018,NO,12,18,14.60274727,57.84861753
2018,FI,13,18,28.72017334,58.16566473
3018,ES,14,18,0.10118878,37.32298374
4018,FR,15,18,6.16264918,46.16231874
5018,DE,16,18,17.18705905,50.05462622
6018,BY,17,18,31.40418552,51.48873863
7018,IT,18,18,16.31296131,38.88214156
8018,MD,19,18,32.67030412,44.09753147
9018,LY,20,18,16.85379345,29.38798828
10018,GR,21,18,27.53749688,34.83155268
11018,EG,22,18,35.10897316,26.62009177
12018,GE,23,18,48.59606074,38.70618997
13018,KW,24,18,51.69192268,25.80746922
14018,TM,25,18,62.22971541,34.76610885
15018,UZ,26,18,73.11429763,38.26231479
16018,RU,27,18,75.21165077,48.57012808
17018,YE,28,18,48.02260368,11.50435693
18018,MU,29,18,62.50835356,19.9740974
19018,PK,30,18,76.89677874,27.96617595
19,UK,11,19,-2.4550706,50.90220838
1019,NO,12,19,14.57774815,57.83592366
2019,FI,13,19,28.69517423,58.1530828
3019,ES,14,19,0.07618966,37.3040156
4019,FR,15,19,6.13765006,46.14579776
5019,DE,16,19,17.16205993,50.03931112
6019,BY,17,19,31.37918641,51.47388596
7019,IT,18,19,16.2879622,38.86357385
8019,MD,19,19,32.645305,44.08040141
9019,LY,20,19,16.82879433,29.3672058
10019,GR,21,19,27.51249776,34.81197396
11019,EG,22,19,35.08397405,26.59876851
12019,GE,23,19,48.57106162,38.68757639
13019,KW,24,19,51.66692356,25.78599659
14019,TM,25,19,62.20471629,34.74651458
15019,UZ,26,19,73.08929851,38.24358624
16019,RU,27,19,75.18665165,48.55434442
17019,YE,28,19,47.99760456,11.48098573
18019,MU,29,19,62.48335444,19.95168104
19019,PK,30,19,76.87177962,27.94510954
20,UK,11,20,-2.48021893,50.88726473
1020,NO,12,20,14.55259982,57.82330912
2020,FI,13,20,28.6700259,58.14057949
3020,ES,14,20,0.05104134,37.2851679
4020,FR,15,20,6.11250174,46.12938089
5020,DE,16,20,17.13691161,50.02409225
6020,BY,17,20,31.35403808,51.45912651
7020,IT,18,20,16.26281387,38.84512388
8020,MD,19,20,32.62015667,44.06337948
9020,LY,20,20,16.80364601,29.34655627
10020,GR,21,20,27.48734944,34.79251983
11020,EG,22,20,35.05882572,26.57758203
12020,GE,23,20,48.5459133,38.66908084
13020,KW,24,20,51.64177523,25.76466181
14020,TM,25,20,62.17956797,34.72704501
15020,UZ,26,20,73.06415018,38.22497649
16020,RU,27,20,75.16150333,48.53866004
17020,YE,28,20,47.97245624,11.45776684
18020,MU,29,20,62.45820611,19.92940946
19020,PK,30,20,76.8466313,27.92417808
21,UK,11,21,-2.50551547,50.87241619
1021,NO,12,21,14.52730328,57.81077451
2021,FI,13,21,28.64472936,58.12815538
3021,ES,14,21,0.0257448,37.26644147
4021,FR,15,21,6.0872052,46.11306889
5021,DE,16,21,17.11161506,50.0089703
6021,BY,17,21,31.32874154,51.44446097
7021,IT,18,21,16.23751733,38.82679246
8021,MD,19,21,32.59486013,44.04646646
9021,LY,20,21,16.77834946,29.32604058
10021,GR,21,21,27.46205289,34.77319116
11021,EG,22,21,35.03352918,26.55653325
12021,GE,23,21,48.52061675,38.65070415
13021,KW,24,21,51.61647869,25.7434658
14021,TM,25,21,62.15427143,34.70770101
15021,UZ,26,21,73.03885364,38.2064864
16021,RU,27,21,75.13620678,48.52307566
17021,YE,28,21,47.9471597,11.43470123
18021,MU,29,21,62.43290957,19.9072836
19021,PK,30,21,76.82133475,27.90338249
22,UK,11,22,-2.53095923,50.85766344
1022,NO,12,22,14.50185952,57.79832041
2022,FI,13,22,28.6192856,58.11581106
3022,ES,14,22,0.00030104,37.24783715
4022,FR,15,22,6.06176144,46.09686248
5022,DE,16,22,17.0861713,49.99394597
6022,BY,17,22,31.30329778,51.42989
7022,IT,18,22,16.21207357,38.8085804
8022,MD,19,22,32.56941637,44.0296631
9022,LY,20,22,16.7529057,29.30565963
10022,GR,21,22,27.43660913,34.7539888
11022,EG,22,22,35.00808542,26.53562307
12022,GE,23,22,48.49517299,38.63244715
13022,KW,24,22,51.59103493,25.72240948
14022,TM,25,22,62.12882766,34.68848343
15022,UZ,26,22,73.01340988,38.18811677
16022,RU,27,22,75.11076302,48.50759199
17022,YE,28,22,47.92171594,11.41178983
18022,MU,29,22,62.40746581,19.88530439
19022,PK,30,22,76.79589099,27.88272365
23,UK,11,23,-2.55654921,50.84300717
1023,NO,12,23,14.47626954,57.78594739
2023,FI,13,23,28.59369562,58.10354708
3023,ES,14,23,-0.02528894,37.22935576
4023,FR,15,23,6.03617146,46.08076241
5023,DE,16,23,17.06058132,49.97901994
6023,BY,17,23,31.2777078,51.41541428
7023,IT,18,23,16.18648359,38.79048854
8023,MD,19,23,32.54382639,44.01297016
9023,LY,20,23,16.72731572,29.28541431
10023,GR,21,23,27.41101915,34.7349136
11023,EG,22,23,34.98249544,26.5148524
12023,GE,23,23,48.46958301,38.61431065
13023,KW,24,23,51.56544495,25.70149375
14023,TM,25,23,62.10323769,34.66939311
15023,UZ,26,23,72.9878199,38.16986842
16023,RU,27,23,75.08517305,48.49220973
17023,YE,28,23,47.89612596,11.3890336
18023,MU,29,23,62.38187583,19.86347278
19023,PK,30,23,76.77030101,27.86220247
24,UK,11,24,-2.5822844,50.82844803
1024,NO,12,24,14.45053436,57.77365602
2024,FI,13,24,28.56796043,58.09136404
3024,ES,14,24,-0.05102413,37.21099813
4024,FR,15,24,6.01043627,46.06476941
5024,DE,16,24,17.03484614,49.96419289
6024,BY,17,24,31.25197261,51.40103446
7024,IT,18,24,16.1607484,38.77251766
8024,MD,19,24,32.51809121,43.99638841
9024,LY,20,24,16.70158054,29.2653055
10024,GR,21,24,27.38528397,34.7159664
11024,EG,22,24,34.95676025,26.49422214
12024,GE,23,24,48.44384783,38.59629545
13024,KW,24,24,51.53970976,25.68071951
14024,TM,25,24,62.0775025,34.65043091
15024,UZ,26,24,72.96208471,38.15174218
16024,RU,27,24,75.05943786,48.47692958
17024,YE,28,24,47.87039077,11.36643348
18024,MU,29,24,62.35614064,19.84178967
19024,PK,30,24,76.74456583,27.84181984
25,UK,11,25,-2.60816378,50.8139867
1025,NO,12,25,14.42465498,57.76144689
2025,FI,13,25,28.54208105,58.07926248
3025,ES,14,25,-0.07690351,37.19276507
4025,FR,15,25,5.98455689,46.04888419
5025,DE,16,25,17.00896676,49.94946552
6025,BY,17,25,31.22609323,51.38675121
7025,IT,18,25,16.13486902,38.75466859
8025,MD,19,25,32.49221182,43.97991858
9025,LY,20,25,16.67570116,29.24533407
10025,GR,21,25,27.35940459,34.69714804
11025,EG,22,25,34.93088087,26.47373318
12025,GE,23,25,48.41796845,38.57840237
13025,KW,24,25,51.51383038,25.66008767
14025,TM,25,25,62.05162312,34.63159765
15025,UZ,26,25,72.93620533,38.13373885
16025,RU,27,25,75.03355848,48.46175226
17025,YE,28,25,47.84451139,11.34399038
18025,MU,29,25,62.33026126,19.820256
19025,PK,30,25,76.71868645,27.82157665
26,UK,11,26,-2.63418634,50.79962385
1026,NO,12,26,14.39863242,57.74932055
2026,FI,13,26,28.51605849,58.06724297
3026,ES,14,26,-0.10292607,37.1746574
4026,FR,15,26,5.95853433,46.0331075
5026,DE,16,26,16.9829442,49.93483849
6026,BY,17,26,31.20007067,51.37256519
7026,IT,18,26,16.10884646,38.73694211
8026,MD,19,26,32.46618927,43.96356143
9026,LY,20,26,16.6496786,29.22550091
10026,GR,21,26,27.33338203,34.67845936
11026,EG,22,26,34.90485831,26.45338641
12026,GE,23,26,48.39194589,38.56063221
13026,KW,24,26,51.48780783,25.63959911
14026,TM,25,26,62.02560056,34.61289419
15026,UZ,26,26,72.91018277,38.11585924
16026,RU,27,26,75.00753592,48.44667844
17026,YE,28,26,47.81848883,11.32170525
18026,MU,29,26,62.30423871,19.79887268
19026,PK,30,26,76.69266389,27.80147377
27,UK,11,27,-2.66035104,50.78536013
1027,NO,12,27,14.37246771,57.73727757
2027,FI,13,27,28.48989379,58.05530608
3027,ES,14,27,-0.12909077,37.15667593
4027,FR,15,27,5.93236963,46.01744004
5027,DE,16,27,16.95677949,49.92031247
6027,BY,17,27,31.17390597,51.35847705
7027,IT,18,27,16.08268176,38.71933901
8027,MD,19,27,32.44002456,43.9473177
9027,LY,20,27,16.62351389,29.20580686
10027,GR,21,27,27.30721732,34.65990119
11027,EG,22,27,34.87869361,26.43318271
12027,GE,23,27,48.36578118,38.54298575
13027,KW,24,27,51.46164312,25.61925472
14027,TM,25,27,61.99943585,34.59432133
15027,UZ,26,27,72.88401807,38.09810414
16027,RU,27,27,74.98137121,48.43170882
17027,YE,28,27,47.79232413,11.29957899
18027,MU,29,27,62.278074,19.77764061
19027,PK,30,27,76.66649918,27.78151208
28,UK,11,28,-2.68665687,50.77119621
1028,NO,12,28,14.34616189,57.72531852
2028,FI,13,28,28.46358796,58.04345236
3028,ES,14,28,-0.1553966,37.13882146
4028,FR,15,28,5.9060638,46.00188254
5028,DE,16,28,16.93047367,49.90588813
6028,BY,17,28,31.14760014,51.34448744
7028,IT,18,28,16.05637593,38.7018601
8028,MD,19,28,32.41371874,43.93118813
9028,LY,20,28,16.59720807,29.18625281
10028,GR,21,28,27.2809115,34.64147434
11028,EG,22,28,34.85238778,26.41312295
12028,GE,23,28,48.33947536,38.5254638
13028,KW,24,28,51.43533729,25.59905538
14028,TM,25,28,61.97313003,34.57587991
15028,UZ,26,28,72.85771224,38.08047435
16028,RU,27,28,74.95506539,48.41684409
17028,YE,28,28,47.7660183,11.27761252
18028,MU,29,28,62.25176817,19.75656069
19028,PK,30,28,76.64019336,27.76169245
29,UK,11,29,-2.71310278,50.75713273
1029,NO,12,29,14.31971598,57.71344395
2029,FI,13,29,28.43714205,58.03168236
3029,ES,14,29,-0.18184251,37.12109478
4029,FR,15,29,5.87961789,45.98643569
5029,DE,16,29,16.90402776,49.89156614
6029,BY,17,29,31.12115423,51.330597
7029,IT,18,29,16.02993002,38.68450615
8029,MD,19,29,32.38727283,43.91517345
9029,LY,20,29,16.57076216,29.16683959
10029,GR,21,29,27.25446559,34.62317963
11029,EG,22,29,34.82594187,26.393208
12029,GE,23,29,48.31302945,38.50806714
13029,KW,24,29,51.40889139,25.57900196
14029,TM,25,29,61.94668412,34.55757075
15029,UZ,26,29,72.83126634,38.06297066
16029,RU,27,29,74.92861948,48.40208493
17029,YE,28,29,47.73957239,11.25580675
18029,MU,29,29,62.22532227,19.73563382
19029,PK,30,29,76.61374745,27.74201573
30,UK,11,30,-2.73968772,50.74317034
1030,NO,12,30,14.29313103,57.70165441
2030,FI,13,30,28.41055711,58.01999663
3030,ES,14,30,-0.20842746,37.10349669
4030,FR,15,30,5.85303294,45.9711002
5030,DE,16,30,16.87744281,49.87734715
6030,BY,17,30,31.09456929,51.31680638
7030,IT,18,30,16.00334508,38.66727794
8030,MD,19,30,32.36068788,43.89927438
9030,LY,20,30,16.54417721,29.14756806
10030,GR,21,30,27.22788064,34.60501788
11030,EG,22,30,34.79935693,26.37343873
12030,GE,23,30,48.2864445,38.49079654
13030,KW,24,30,51.38230644,25.55909532
14030,TM,25,30,61.92009917,34.53939466
15030,UZ,26,30,72.80468139,38.04559385
16030,RU,27,30,74.90203453,48.38743201
17030,YE,28,30,47.71298744,11.23416257
18030,MU,29,30,62.19873732,19.71486089
19030,PK,30,30,76.5871625,27.7224828
31,UK,11,31,-2.76641067,50.72930969
1031,NO,12,31,14.26640809,57.68995045
2031,FI,13,31,28.38383416,58.00839573
3031,ES,14,31,-0.2351504,37.08602798
4031,FR,15,31,5.82631,45.95587679
5031,DE,16,31,16.85071987,49.86323182
6031,BY,17,31,31.06784634,51.30311621
7031,IT,18,31,15.97662213,38.65017625
8031,MD,19,31,32.33396494,43.88349165
9031,LY,20,31,16.51745427,29.12843905
10031,GR,21,31,27.2011577,34.5869899
11031,EG,22,31,34.77263398,26.353816
12031,GE,23,31,48.25972156,38.47365278
13031,KW,24,31,51.3555835,25.53933634
14031,TM,25,31,61.89337623,34.52135244
15031,UZ,26,31,72.77795845,38.02834471
16031,RU,27,31,74.87531159,48.372886
17031,YE,28,31,47.6862645,11.21268088
18031,MU,29,31,62.17201438,19.69424278
19031,PK,30,31,76.56043956,27.70309448
32,UK,11,32,-2.79327055,50.71555142
1032,NO,12,32,14.23954821,57.67833264
2032,FI,13,32,28.35697428,57.99688018
3032,ES,14,32,-0.26201028,37.06868942
4032,FR,15,32,5.79945012,45.94076613
5032,DE,16,32,16.82385999,49.8492208
6032,BY,17,32,31.04098646,51.28952713
7032,IT,18,32,15.94976225,38.63320184
8032,MD,19,32,32.30710506,43.86782597
9032,LY,20,32,16.49059439,29.10945342
10032,GR,21,32,27.17429782,34.56909648
11032,EG,22,32,34.7457741,26.33434065
12032,GE,23,32,48.23286168,38.45663663
